episode_i,scene_i,object_class,receiverIndex,transmitterIndex,object_id,object_i,typeID,xinsite,yinsite,x3,y3,z3,lane_id,angle,speed,length,width,height,distance,waitTime,currentTime(ms)=136.5,Ts(s)=0.5
3,1,vehicle,-1,-1,flow24.2,0,Truck,818.0495313077018,670.6701757665227,159.22953130770182,311.9101757665227,0.0,H2_0,89.78074582948503,12.300165501336679,12.5,2.5,4.3,146.6495313077018,0.0
3,1,vehicle,-1,-1,flow24.3,1,Truck,678.0255009820803,670.947609059912,19.2055009820802,312.187609059912,0.0,H1_0,90.45367357471842,4.346945826298362,12.5,2.5,4.3,6.645500982080195,0.0
3,1,vehicle,-1,-1,flow25.0,2,Bus,751.2303242898311,546.5834917449431,92.41032428983097,187.82349174494314,0.0,V1_0,175.99695863146547,11.575874193634869,9.0,2.4,3.2,196.74538524921246,0.0
3,1,vehicle,-1,-1,flow25.1,3,Truck,745.033432863747,635.1356184242132,86.21343286374692,276.37561842421326,0.0,V1_0,175.99695863146547,14.538848059069439,12.5,2.5,4.3,104.47548864929698,0.0
3,1,vehicle,-1,-1,flow26.0,4,Car,762.4129488766227,432.59076324831125,103.59294887662276,73.83076324831126,0.0,V1_1,175.99713077125762,0.0,4.645,1.775,1.59,315.5939933096979,7.0
3,1,vehicle,-1,-1,flow26.1,5,Truck,762.0477271999858,437.8099206113003,103.2277271999858,79.04992061130031,0.0,V1_1,175.9971307712575,0.48438283247160346,12.5,2.5,4.3,302.50722656699764,0.0
3,1,vehicle,-1,-1,flow26.2,6,Bus,760.9099938473407,454.0685651125088,102.08999384734072,95.3085651125088,0.0,V1_1,175.9971307712575,4.11522088939235,9.0,2.4,3.2,289.70930150614174,0.0
3,1,vehicle,-1,-1,flow26.3,7,Bus,728.7569104481062,670.5459044127992,69.93691044810608,311.7859044127992,0.0,H1_0,90.45367357471848,14.267067010923792,9.0,2.4,3.2,60.87691044810605,0.0
3,1,vehicle,-1,-1,flow26.4,8,Car,706.0186261475116,670.7259521301219,47.19862614751154,311.9659521301219,0.0,H1_0,90.45367357471864,12.943504837071831,4.645,1.775,1.59,42.49362614751154,0.0
3,1,vehicle,-1,-1,flow28.0,9,Truck,759.2024001456625,431.8137906430084,100.38240014566243,73.05379064300841,0.0,:2_6_0,176.269225413852,6.580443165945017,12.5,2.5,4.3,305.39713303031954,0.0
3,1,vehicle,-1,-1,flow28.1,10,Bus,752.4240702757677,529.5251412751286,93.6040702757676,170.76514127512866,0.0,V1_0,175.99695863146536,13.343238893746063,9.0,2.4,3.2,210.94568610200992,0.0
3,1,vehicle,-1,-1,flow28.2,11,Truck,747.6803865368051,643.1247105199725,88.86038653680505,284.36471051997256,0.0,V1_1,175.9971307712575,11.155325205404909,12.5,2.5,4.3,93.79640023592204,0.0
3,1,vehicle,-1,-1,flow28.3,12,Car,757.5373640813854,676.7909928665024,98.71736408138536,318.0309928665024,0.0,:1_2_0,269.1915445342184,4.683284348935709,4.645,1.775,1.59,60.92122442400488,0.0
3,1,vehicle,-1,-1,flow28.4,13,Car,798.9708777983326,676.9972817916666,140.15087779833254,318.23728179166665,0.0,H4_1,269.78074582948506,4.355955853876256,4.645,1.775,1.59,19.48412220166744,0.0
3,1,vehicle,-1,-1,flow29.0,14,Truck,759.7162509428783,471.12760751851044,100.8962509428783,112.36760751851043,0.0,V1_1,175.99713077125745,6.920783334272311,12.5,2.5,4.3,266.20904479517714,0.0
3,1,vehicle,-1,-1,flow29.1,15,Car,748.8958675284385,673.8154913210412,90.07586752843854,315.05549132104125,0.0,:1_2_0,240.19005697784937,2.9088957537938773,4.645,1.775,1.59,70.25796493699097,0.0
3,1,vehicle,-1,-1,flow29.2,16,Truck,767.6059210674483,676.877256700855,108.7859210674483,318.1172567008551,0.0,H4_1,269.78074582948506,4.690132378554461,12.5,2.5,4.3,42.99407893255168,0.0
3,1,vehicle,-1,-1,flow29.3,17,Bus,785.063008084773,676.9440601870685,126.24300808477291,318.1840601870686,0.0,H4_1,269.7807458294849,4.7162171214005975,9.0,2.4,3.2,29.036991915227084,0.0
3,1,vehicle,-1,-1,flow30.1,18,Car,799.8016091069168,383.9668354807987,140.98160910691672,25.206835480798716,0.0,H7_0,127.83276127148024,10.941254548126272,4.645,1.775,1.59,151.96081820077853,0.0
3,1,vehicle,-1,-1,flow30.2,19,Truck,775.9845746478233,402.4630430926479,117.16457464782322,43.70304309264793,0.0,H7_0,127.612127251876,13.099205422058626,12.5,2.5,4.3,113.95104211089405,0.0
3,1,vehicle,0,-1,flow30.3,20,Truck,737.0549106906767,426.72404719477134,78.2349106906766,67.96404719477137,0.0,H6_0,118.44769026969057,13.236575071856306,12.5,2.5,4.3,67.6862657607199,0.0
3,1,vehicle,-1,-1,flow30.4,21,Truck,698.9122178787233,447.38877261184473,40.09221787872318,88.62877261184477,0.0,H6_0,98.78609726718034,8.816599542475961,12.5,2.5,4.3,24.30548137784531,0.0
3,1,vehicle,-1,-1,flow31.0,22,Bus,747.9808046081521,670.3933725885554,89.16080460815205,311.63337258855546,0.0,:1_4_0,349.60971585235444,1.769705920174575,9.0,2.4,3.2,348.2346961042468,0.0
3,1,vehicle,-1,-1,flow31.1,23,Truck,756.913915590181,556.9850089092398,98.0939155901809,198.22500890923982,0.0,V2_1,355.9969586314654,12.941897207754032,12.5,2.5,4.3,230.86060497049732,0.0
3,1,vehicle,-1,-1,flow31.2,24,Car,758.7070404677565,531.3616744995933,99.88704046775648,172.6016744995933,0.0,V2_1,355.99695863146536,12.987557311616984,4.645,1.775,1.59,213.0292569245858,0.0
3,1,vehicle,-1,-1,flow31.3,25,Truck,760.080351647789,511.73737947444346,101.26035164778897,152.97737947444347,0.0,V2_1,355.9969586314654,12.342401458972178,12.5,2.5,4.3,185.50170127227085,0.0
3,1,vehicle,-1,-1,flow31.4,26,Truck,734.8316126858399,431.5726664643538,76.01161268583985,72.81266646435378,0.0,H6_1,118.43413851270479,0.1209901890800524,12.5,2.5,4.3,63.421087758442106,0.0
3,1,vehicle,-1,-1,flow32.0,27,Bus,753.6771517146125,649.0516189517643,94.85715171461241,290.29161895176435,0.0,V2_0,355.99449869594724,10.405285750367975,9.0,2.4,3.2,326.43308682130663,0.0
3,1,vehicle,-1,-1,flow32.1,28,Truck,755.1589405547627,627.8902500441844,96.33894055476264,269.13025004418444,0.0,V2_0,355.9944986959472,10.8461474028165,12.5,2.5,4.3,301.71967727054215,0.0
3,1,vehicle,-1,-1,flow32.2,29,Car,739.2416107865602,429.18479249275345,80.42161078656012,70.42479249275345,0.0,H6_1,118.43413851270485,0.004517723881655733,4.645,1.775,1.59,76.2907105987651,2.5
3,1,vehicle,-1,-1,flow32.3,30,Truck,750.5011650711537,423.08810129381385,91.68116507115357,64.32810129381386,0.0,H6_1,118.43413851270485,0.0,12.5,2.5,4.3,81.2389855203931,6.0
3,1,vehicle,-1,-1,flow33.2,31,Truck,722.6088990448302,445.4664309600345,63.78889904483016,86.70643096003447,0.0,H9_0,298.44769026969055,14.593075997995959,12.5,2.5,4.3,133.76119261243866,0.0
3,1,vehicle,-1,-1,flow33.3,32,Bus,808.1469735727457,389.63613785190915,149.3269735727456,30.876137851909167,0.0,H10_0,307.8367518525779,10.712267605444824,9.0,2.4,3.2,35.059129222836724,0.0
3,1,vehicle,-1,-1,flow34.0,33,Truck,761.3508749713559,670.4532055524696,102.53087497135584,311.6932055524696,0.0,H2_0,56.785248131803606,8.815458348950898,12.5,2.5,4.3,337.66087497135584,0.0
3,1,vehicle,-1,-1,flow34.1,34,Truck,761.9647646530735,530.6965402779189,103.14476465307351,171.93654027791888,0.0,V2_0,355.9944986959473,14.466963709045574,12.5,2.5,4.3,190.81694595553734,0.0
3,1,vehicle,-1,-1,flow34.2,35,Car,769.4062324727349,427.27579150901835,110.5862324727349,68.51579150901836,0.0,:2_0_0,348.7450137797766,10.971842268680966,4.645,1.775,1.59,94.97998632595208,0.0
3,1,vehicle,-1,-1,flow34.3,36,Car,778.0251878394691,413.03195187508095,119.20518783946905,54.27195187508099,0.0,H10_0,307.8367518525779,11.388720651325615,4.645,1.775,1.59,77.55684194073272,0.0
3,1,vehicle,-1,-1,flow35.0,37,Car,751.7843962107817,630.2846391038863,92.96439621078162,271.5246391038864,0.0,V2_1,355.9969586314654,11.708229860059044,4.645,1.775,1.59,298.7254957105358,0.0
3,1,vehicle,-1,-1,flow35.1,38,Car,750.6275975993443,646.8150202480881,91.80759759934425,288.05502024808806,0.0,V2_1,355.99695863146536,9.93126953575162,4.645,1.775,1.59,315.2965288404662,0.0
3,1,vehicle,-1,-1,flow35.2,39,Truck,755.2639037576455,580.5632914335976,96.44390375764539,221.80329143359756,0.0,V2_1,355.9969586314654,14.183544347234593,12.5,2.5,4.3,241.02687188107856,0.0
3,1,vehicle,-1,-1,flow35.3,40,Truck,829.5390037706009,373.02078959471095,170.71900377060075,14.260789594710946,0.0,H10_0,307.8367518525778,3.565778112380204,12.5,2.5,4.3,4.470759711332709,0.0
